Question Speaker,Question Text,Answer Speaker,Answer Text
Ātreya Ṛṣi,"San Diego is very close to the border of Mexico, Śrīla Prabhupāda.",Prabhupāda," Yes. [break] ...the cemetery of dog, one becomes dog. Yes, that is stated."
Ātreya Ṛṣi,Yes.,Prabhupāda," Yānti bhūtāni bhūtejyā. ""The worshiper of this bhūta goes to the bhūta . "" Mad -yājino 'pi yānti mām [Bg. 9.25 ] . ""And those who are worshiper of Me, they come to Me."""
Ātreya Ṛṣi,Yes.,Prabhupāda," A good reason. If you worship Kṛṣṇa , go to Kṛṣṇa . If you worship the dog, you go to dog."
Devotee (1),"Māyāvādīs, they say you can worship anything and it is all the same?",Prabhupāda, Huh ?
Devotee (1),Do the Māyāvādīs say you can worship anything and it is all the same?,Prabhupāda," Yes. (chuckles) That is their nonsense. Kṛṣṇa says different thing, but they have manufactured their own way. Is that a temple?"
Devotee (1),"Yes, Śrīla Prabhupāda. It's a nice gold dome.",Prabhupāda, It appears as church. It is a church?
Devotee (1); Ātreya Ṛṣi,Yes. I do not know what kind. Christian church. [break]; Kṛṣṇa has endowed California with a lot of natural beauty.,Prabhupāda, Yes.
Ātreya Ṛṣi; Devotee (1),All year around there is nice flowers and green.; Sunshine.,Prabhupāda," And you know how to utilize them. Therefore, Kṛṣṇa has given you this land. Now utilize it and develop Kṛṣṇa consciousness. It will be heaven."
Ātreya Ṛṣi,We could have an idea like you have in India on the beach for rich people to come and learn Kṛṣṇa consciousness.,Prabhupāda, Yes.
Ātreya Ṛṣi,It's a very beautiful spot.,Prabhupāda, Bombay.
Ātreya Ṛṣi,"Like Bombay. Such an idea, it would be very nice here for all the rich, artists, intelligent people, everybody to come and rest and learn Kṛṣṇa consciousness.",Prabhupāda," Let them learn there and implement the idea here. The whole city, whole country will be glorified."
Ātreya Ṛṣi,Jaya . We need to have more cow protection.,Prabhupāda, Yes.
Ātreya Ṛṣi,"On the West Coast, it would be very nice if we had some cow protection.",Prabhupāda," These people must stop this cow killing, the greatest sin. They should divert their tendency for happiness differently than by killing and drinking."
Devotee (1),They are thinking they cannot live without eating cows.,Prabhupāda, Huh ?
Devotee (1),They think they cannot live without eating cows.,Prabhupāda," They do not know. We can teach them how to get better vitaminous foodstuff from cow's milk. Yes. Let the cow live, and she supplies her blood in the form of milk, and you take vitaminous foodstuff from milk. That is civilization. Milk is also cow's blood. But take this blood in a humanely way, not by killing. Milk is nothing but blood of cow. Suppose if you kill one cow, you get blood how much, how many pounds?"
Devotee (1),Some number?,Prabhupāda," No, just guess, how many pounds blood you can get?"
Devotee (1),Fifty pounds?,Prabhupāda," Fifty pounds. But if you keep the cows, you get thirty pounds daily. This is intelligence. Instead of getting once fifty pounds and finished, why don't you get it daily thirty pounds?"
Devotee (1); Ātreya Ṛṣi,"Because they're lusty.; We have to set the example, Prabhupāda, through your mercy.",Prabhupāda," Yes. This is foolishness. Just like one has got some money, he utilizes his money and gets daily some income. And if he wants to spend all at once, that is foolishness."
Ātreya Ṛṣi,Now they think they are smart. They think they can mass produce animals and mass kill them.,Prabhupāda, Mass killing?
Ātreya Ṛṣi,Mass killing. That is... They have factories where they can produce thousands of animals very quickly. Quickly they inject certain vitamins and so on in the animal so that they become fat very fast for mass killing.,Prabhupāda, How they can produce thousands of animals?
Ātreya Ṛṣi,"They're producing animals in the laboratories, not with... They're not producing, they are utilizing nature's way, but they don't let the animals see the green and the grass or the outside. They keep them in the barn and just keep feeding them.",Prabhupāda, I don't think it is possible. It is simply imagination.
Ātreya Ṛṣi,"It's the cows which are producing each other, it's not the man that is producing. But they artificially try to make them fat fast.",Prabhupāda, And what is the harm if they live?
Ātreya Ṛṣi,"Excuse me, Prabhupāda?",Prabhupāda, There is enough grass.
Ātreya Ṛṣi; Devotee (1),"Yes, yes.; This is a nice park.",Prabhupāda, Yes.
Devotee (1),Someday we will put on a nice Hare Kṛṣṇa festival here in this park.,Prabhupāda," We shall park here, no?"
Devotee (1),Yes?,Prabhupāda, What do you say?
Devotee (1),If you would like.,Prabhupāda, Anywhere.
Ātreya Ṛṣi,"This is a long drive, Śrīla Prabhupāda. It just goes very scenic drive.",Prabhupāda, You go.
Devotee (1),"We could walk for some time, walk along the beach.",Prabhupāda, Yes.
Devotee (1),Then we can drive.,Prabhupāda, Yes. (exits car)
Devotee (1),Someday by Kṛṣṇa's grace we'll put a big festival right here. [break],Prabhupāda," ...forgetfulness of Kṛṣṇa . When there is Kṛṣṇa consciousness, it is no longer material. That is spiritual."
Ātreya Ṛṣi,"Those of us who have been blessed by your teachings, we still are conditioned to forget Kṛṣṇa . It's very painful when we forget. I know myself, I am still a rascal. It's very difficult when I forget. [break]",Prabhupāda, It is your duty to give protection.
Devotee (1),"When he was very small, he came back from the temple one Sunday chanting and dancing, and finally we went to see what it was. (end)",Prabhupāda, ...the brain of Einstein.
Ātreya Ṛṣi; Devotee (1),Brain of who?; Einstein?,Prabhupāda, Einstein.
Ātreya Ṛṣi,"Well, the way they're doing it is through the genetic, yes.",Prabhupāda," Whatever it may be, they are trying..."
Ātreya Ṛṣi,Yes.,Prabhupāda, ...to make a xerox copy. So why not the original?
Devotee (1),What is that?,Prabhupāda, Explain to him.
Ātreya Ṛṣi,Why not the original?,Prabhupāda," Yes. The scientists, they are trying to make a xerox copy of Professor Einstein. So why not the original? Hm? What is their answer?"
Ātreya Ṛṣi,They cannot keep the original alive.,Prabhupāda," No, that's all right, but let them make one original."
Devotee (1),They can't even begin.,Prabhupāda, Hm?
Devotee (1),They can't even make a cell.,Prabhupāda, Then what is their credit?
Devotee (1),They have made a computer.,Prabhupāda, Hm?
Devotee (1),"They have made a computer, but it takes a human being to program the computer.",Prabhupāda," So what is their credit? If you simply copy something, that is not credit. The credit should go to the original."
Ātreya Ṛṣi,The scientists admit that there is nothing new that they can make. Everything is the manipulation of the laws of nature.,Prabhupāda," Then the thing is that as they are individual person trying to do something wonderful, the individual person who has already done all this wonderful, how much credit He deserves. If by simply copying you want to take so much credit that you will defy the existence of God, you are so fool, rascal, then how much credit should be given to the original person who has made all these things existing. What is their answer?"
