Question Speaker,Question Text,Answer Speaker,Answer Text
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Vṛndāvana morning walk, Vṛndāvana , April 2, 1976. Śrīla Prabhupāda is walking in the Vṛndāvana Municipal Park this morning. He drove here by car in his Mercedes. Now he's taking walk here.",Prabhupāda, Car?
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Yes, car is locked, and the driver of the other car is watching it.",Prabhupāda," [break] ...small park, they cannot maintain it."
Tripurāri,"...reading in Caitanya - caritāmṛta , the cleansing of the Guṇḍicā temple. And towards the end, one Bengali Vaiṣṇava brāhmaṇa washed the feet of Caitanya Mahāprabhu , and He became a little angry, outwardly angry, and unhappy within. And in one purport you mention that the spiritual master should not be offered obeisances or have his feet washed before the Deity. But the impression of most of the devotees has been that in the presence of the spiritual master one can stop worshiping the Deity and offer obeisances to the spiritual master. So I was wondering which is correct.",Prabhupāda, (chuckles) Dilemma.
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : I mean, it's obvious if it was detrimental to our devotional service, then Prabhupāda would correct it.",Prabhupāda," They cannot also keep clean even Central Park. Then what to speak of Vṛndāvana ? Things are becoming very, very..."
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Here in Vṛndāvana the people also pay taxes?,Prabhupāda," Yes, without tax.... [break]"
Tripurāri,"...in the day sometimes, and now they are giving prasādam to the devotees free, without charge. [break] ...stay?",Prabhupāda, They stay at the Rādhā - Dāmodara temple. (aside:) Hare Kṛṣṇa .
Tripurāri,Those are the originals?,Prabhupāda, (aside:) Jaya . Jaya .
Ādi-keśava,"Ādi- keśava : [break] ...the devotees are asking one question. They're wanting to know how it was that even though there is so much distance between, let's say, Govardhana and Rādhā - kuṇḍa and Vṛndāvana , Nanda - grāma , Varṣāṇā, how it was that still Kṛṣṇa and Rādhā could go and meet, and the cowherd boys could go and meet at these various places. They could go such great distances.",Prabhupāda," That is distance for you, not for them. Just like a small ant. It goes from here to here. It is a great, three hundred miles, but for you, one step. Why do you study Kṛṣṇa like you? Why do you think that Kṛṣṇa was like you? Avajānanti māṁ mūḍhā mānuṣīṁ tanum āśritam [Bg. 9.11 ] . Kṛṣṇa can do anything, so His associates."
Pañca-draviḍa; Tripurāri; Pañca-draviḍa,"Pañca - draviḍa : In the Upadeśāmṛta, in the translation you refer to this, the līlā - aṣṭa ...; Aṣṭakāla- līlā .; Pañca - draviḍa : Aṣṭakāla- līlā . What is that exactly? Eightfold līlā or some...?",Prabhupāda," Eightfold, but..., eight grahas."
Gurudāsa,Śrīla Prabhupāda? So the timings are.... At new Govinda temple the...,Prabhupāda, New Govinda temple?
Gurudāsa,"New Govinda and old Govinda , both. Starting at 7:30 is the dhūpa - ārati , and then, nine o'clock, is another ārati , then the rāja - bhoga ārati is at 11:30. Gopīnātha's temple is staggered, a little after 7:30, and the Rādhā - ramaṇa temple is 8:30. So they stagger like that. So the next ārati will be 7:30.",Prabhupāda," But in the morning, before..."
Gurudāsa,Five o'clock. They start at five. The maṅgala -āratis start at five. (end),Prabhupāda, All of them are South African?
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : No, actually, he's from South Africa and he's from South Africa. These two devotees are going down for the first time, and Jagat - guru was preaching there once before.",Prabhupāda, So they will get visa ?
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : They don't require visa except for Jagat - guru . He's British, he's Canadian. He's South African boy. He's South African.",Prabhupāda," Oh, they don't require visa ."
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Only Jagat - guru dāsa , American.",Prabhupāda, Oh. So he'll get visa ?
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Oh, yes.",Prabhupāda," So all five, you are going?"
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Yes.,Prabhupāda," Now, we have studied this South Africa. They like our movement. They are purchasing books. That is very good sign. Is it not? They are purchasing? Who are purchasing books? Educated circle?"
Devotee (1),Colleges.,Prabhupāda," College. That is.... College, universities, that is educated.... So I was surprised when, after my meeting, they purchased books, because these South African white men, they do not like very much Indians. Is it not?"
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : It's a fact.,Prabhupāda," But still, they like this Kṛṣṇa consciousness. That is very good sign."
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Even the Indians are attracted to our Indian culture.,Prabhupāda, They lost their culture.
Jagat-guru,"Jagat - guru : Śrīla Prabhupāda, we were thinking that this is 1976, and in July there is Ratha - yātrā . So by next year, '77, we hope to be able to have Ratha - yātrā in Durban. There may be a quarter of a million, half a million Indian people. One cart and three deities on one cart.",Prabhupāda, And whether government will allow?
PuṣṭaKṛṣṇa; Jagat-guru,"Puṣṭa Kṛṣṇa : I think so. They already have permission.; Jagat - guru : They can give permission, will do probably. And also we want to establish also, apart from the temple, one bus program which will reach all the towns and villages there in South Africa.",Prabhupāda, Very good.
Jagat-guru,"Jagat - guru : And also we will go to Rhodesia and probably Malawi and maybe Mozambique, which are countries in our area. And also I spoke to the boys from Mauritius, and...",Prabhupāda," Mauritius, we have got now devotee."
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Yes.,Prabhupāda, You have kept his address?
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Two devotees.,Prabhupāda, Oh.
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : One is that gentleman, Mr. Narayan. He's an engineer with the city electrical department, and the other is a full-time devotee. I have his address, Mr. Narayan's address.",Prabhupāda, So they are still here?
PuṣṭaKṛṣṇa; Jagat-guru,"Puṣṭa Kṛṣṇa : He's anxious to go back. He's going to London until August; then he's going back to Mauritius with his family.; Jagat - guru : We will invite him to come to our Durban festival. And also I've suggested that they also arrange something big, festival, because there are 600,000 Indians there, and that some of our men can go to the island and give them association.",Prabhupāda, So they'll give visa ? Me?
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : For you? Oh, yes. I think we have to make a chest x-ray again and take several shots for you, (laughter) no problem.",Prabhupāda, So when you are going back? Tomorrow?
Jagat-guru,Jagat - guru : Yes.,Prabhupāda, When? Early in the morning?
Devotee,Yes. We're making the arrangement tomorrow to go. We're getting tickets and some books. Then Jagat - guru will follow a few days later.,Prabhupāda," Make vigorous propaganda all over the world. From South Africa, Australia, there is direct service."
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Direct service.,Prabhupāda, Perth.
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Perth.,Prabhupāda, From Perth to...
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Sydney.,Prabhupāda," No, South Africa...?"
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : How many hours? It's about nine hours.,Prabhupāda, Not much. Nearer than India. From India to Australia takes so many hours.
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Five hours it was, from Bombay to Mauritius.",Prabhupāda," Five hours, again nine hours."
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : And then it was about three hours to South Africa from Mauritius.,Prabhupāda," No, from Mauritius they can go directly to Australia. No?"
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Direct to?,Prabhupāda, Australia.
PuṣṭaKṛṣṇa; Hari-śauri; PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Oh, yes. If the flight is broken up like that, it's a little easier, from South Africa to Mauritius to Perth, or even to Bombay. It's about the same distance from Bombay to Mauritius as to Australia from Mauritius.; Hari - śauri : Prabhupāda is thinking about going from India to South Africa to Australia to make the flight easier.; Puṣṭa Kṛṣṇa : I don't think it makes the flight easier, because you're going like a triangle, this way and then this way. Let us arrange some nice program first, so that when you come again we'll have something nice to offer you.",Prabhupāda, I think in Mauritius there is good field. They adopted culture.
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : The problem in Mauritius has been that either they don't know how to collect, or they say it's a very poor country and they're not able to get funds to start any kind of a dynamic program.",Prabhupāda, They cannot chant even?
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Chanting they do.,Prabhupāda, That is wanted. We don't want money. So give them directly.
Jagat-guru,"Jagat - guru : Also, Śrīla Prabhupāda.... (too faint)",Prabhupāda," South African mission, very good."
Devotee,"At this present moment, Prabhupāda, we have a really unique situation, the best of all.",Prabhupāda, Eh?
Devotee; PuṣṭaKṛṣṇa,"A unique situation in South Africa, because there are many Europeans that are being drafted into the Army, but they will not allow the Indians to be drafted. They don't want them to go into the military forces because they're afraid they're too intelligent.; Puṣṭa Kṛṣṇa : Some of our brahmacārīs, they've been drafted into the army. We've lost several devotees like that, because it's very hard for them to maintain their Kṛṣṇa consciousness in the army.",Prabhupāda, Conscription.
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Yes, conscription. But the Indians are not drafted. There's no army for them. So we're hoping that in Durban, where you first preached at the City Hall, the young people there, if we can get them sufficiently enthused, that they'll also join, and then we'll be able to have a very big movement amongst Indian community as well. We won't lose any devotees like that from the draft.",Prabhupāda," I think our students who are going to be ministers, they are excused from draft."
PuṣṭaKṛṣṇa; Devotee; Jagat-guru,"Puṣṭa Kṛṣṇa : No, even in South Africa the ministers.... No excuse. It's a very strict situation. If you don't go into the army, you go to jail. Even if you're a minister, they don't care. There is no religious grounds for objecting. But only the Europeans are in the army, no one else. They're afraid that if the Indians had guns, they might use them against the Europeans.; So we're going to try and make more devotees this year, more Indian devotees especially. We've never really tried before.; Jagat - guru : Also, Śrīla Prabhupāda, you have seen on our altar, Gaura - Nitāi ? We have large Gaura - Nitāi and two small, three actually, three small sets of Gaura - Nitāi Deities. The ones on the far left, just under Lord Nityānanda's feet, They are going also to South Africa. They came originally from East Africa. I mentioned it when I first came to Māyāpura(?). So we will be taking them. We have a very nice siṁhāsana built for Them, finished tomorrow, and we'll be displaying Them at all our programs, preaching programs.",Prabhupāda, Do the needful. That's all.
Devotees,(offer obeisances) Jaya .,Prabhupāda, Jaya . Hare Kṛṣṇa .
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : They're very enthusiastic to preach.,Prabhupāda," Yes. That is life. One who is enthusiastic to preach, he is living. Others are dead. Just see how beautiful. Who is the rascal scientist can manufacture that by combination of chemicals?"
Hari-śauri,Hari - śauri : They can imitate the fragrance. (laughs) They can imitate like monkeys.,Prabhupāda," If you see only to the flowers, you become invigorated."
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : If you see only?,Prabhupāda," Invigorated, get a refreshment."
Hari-śauri,"Hari - śauri : If you just see a flower. Yes, just to walk through a nice garden, it's very pacifying.",Prabhupāda," How many different colors and set up, craftsmanship. There is no brain behind."
Hari-śauri,Hari - śauri : Chance.,Prabhupāda," It is not chance. In this particular tree, this flower will grow. Color will not change. (pause) So somebody is preparing?"
Hari-śauri,Hari - śauri : Yes.,Prabhupāda, Who? (end)
Indian,"[break] ...nobody. Only (indistinct) would come here, they would stay here for a few hours and then go back.",Prabhupāda, The tank is not with water.
Indian,"Yes, they used to have water at both sides of the inside. Now, probably, they are short of water or they have switched on to agriculture. So many they used to have flowers and tulasī and all that. Now they have come to agriculture-wheat, barley.",Prabhupāda, Money. Such a nice tank is vacant.
Indian,"I remember my young days. People, young boys, they used to come swim here.",Prabhupāda," Oh. Just see. So you may pay them, say, 150, 200 rupees each. Then it will be all maintained, and that much money you can spend."
Indian,"And if it's nicely maintained, possibility you can get some return out of it.",Prabhupāda, Yes. That way we shall get fruits and flowers.
Jayādvaita,I was seeing yesterday in Rādhā - Dāmodara Mandira that nothing is nicely maintained except for your rooms.,Prabhupāda, (Hindi) Rādhā - Dāmodara temple (Hindi).
Indian,(Hindi),Prabhupāda, Oh. (Hindi)
Indian,"Oldest place in Vṛndāvana . I am not even aspirant of religion or psychology, but people are very much interested in Hinduism there.",Prabhupāda, (Hindi)
Gurudāsa,Guru dāsa : [break] ...should have a nice path all the way around.,Prabhupāda, Yes. (Hindi)
Lokanātha,"Lokanātha : We should buy some for you, Prabhupāda?",Prabhupāda," No, we can buy the whole thing. (Hindi) I'll talk with him. (Hindi—Prabhupāda bargaining with chili seller in long exchange) You have got money?"
Jayatīrtha(?),Yes.,Prabhupāda," (Hindi) So give him two rupees, eight annas. (Hindi)"
Gurudāsa,Guru dāsa : Bargain.,Prabhupāda," My father used to do that. He'd go to a vegetable vendor. He has got a big basket, and he'll say, ""What do you want for all, the whole basket."" So he is ready because he'll sit down so long, so at very cheap rate he'll give it. And it was not required in the family so much. My mother became very angry, that ""You are bringing so many, so much vegetable, it is being spoiled."" But he would purchase like that. If you give him in those days fifty rupees to go to the market, he will spend all the money and bring at home. Hare Kṛṣṇa . (Hindi) We are prepared to spend. [break] ...from saintly person."
Vrajavāsī,Vrajavāsī : Haribol!,Prabhupāda, Haribol. Jaya ! Hare Kṛṣṇa .
Vrajavāsī,Vrajavāsī : Jaya Rādhārāṇī ki !,Prabhupāda, Hare Kṛṣṇa . (Hindi)
Vrajavāsī,Vrajavāsī : Haribol!,Prabhupāda, Haribol. Hare Kṛṣṇa .
Vrajavāsī,Vrajavāsī : Haribol. Haribol. Haribol.,Prabhupāda," (Hindi) Oh, when our festival?"
Gurudāsa; Pañca-draviḍa,"Guru dāsa : Sixth, seventh, and eighth. Tomorrow, next day, and the Rāma - navamī . (Hindi—break); Pañca - draviḍa : In the Bhāgavatam it says that if a person cannot offer a straw mat like that to a saintly person when he visits, he doesn't live in a house...",Prabhupāda," But if he hasn't got extra straw, how can he do?"
Pañca-draviḍa,"Pañca - draviḍa : He may offer obeisances. If he can't do that, simply cry.",Prabhupāda," Straw? Straw is offered. Oh, not taken care of."
Pañca-draviḍa,"Pañca - draviḍa : You said if he couldn't, if he cannot do that, he does not live in a house, but he lives in a tree full of snakes.",Prabhupāda, Yes. So he has offered seat.
PuṣṭaKṛṣṇa,"Puṣṭa Kṛṣṇa : Śrīla Prabhupāda? In the Bhāgavatam it says that although Lord Viṣṇu is the controller of everything, He is particularly in charge with the mode of goodness, and He is associated with maintenance. So is it that in order to maintain something in this material world also, there has to be the touch of the mode of goodness?",Prabhupāda, Yes.
PuṣṭaKṛṣṇa,Puṣṭa Kṛṣṇa : Evaṁ prasanna -manaso?,Prabhupāda," Evaṁ prasanna -manaso bhagavad- bhakti - yogataḥ [SB 1.2.20 ] . Then he becomes prasanna - manasaḥ , happy mood. Then he can cultivate devotional service. Otherwise not possible. Ceta etair anāviddhaṁ sthitaṁ sattve prasīdati . Unless one is situated in sattva - guṇa , there is no possibility of peacefulness. (Hindi) (end)"
